../instances/kp_100_1.in,-1,,41752,41700,2.571e-06,,41700,0.0132346,,
../instances/kp_100_2.in,-1,,38441,38367,1.445e-06,,38400,0.00999782,,
../instances/kp_1000_1.in,-1,,396700,396644,5.282e-06,,396688,0.0307581,,
../instances/kp_1000_2.in,-1,,407935,407930,4.032e-06,,407933,0.029712,,
../instances/kp_10000_1.in,-1,,4092641,4092640,3.8536e-05,,4092641,0.0274025,,
../instances/kp_10000_1_0.1.in,-1,,1296681,1296663,2.1864e-05,,1296678,0.00997726,,
../instances/kp_10000_1_0.01.in,-1,,417235,417210,1.6057e-05,,417231,0.00310253,,
../instances/kp_10000_1_0.02.in,-1,,585034,584993,1.7138e-05,,585031,0.0042582,,
../instances/kp_10000_1_0.03.in,-1,,714797,714764,1.7916e-05,,714788,0.00550048,,
../instances/kp_10000_1_0.04.in,-1,,823225,823196,1.8451e-05,,823225,0.00623429,,
../instances/kp_10000_1_0.05.in,-1,,919171,919134,1.8909e-05,,919169,0.00741257,,
../instances/kp_10000_2.in,-1,,4085793,4085773,4.4626e-05,,4085792,0.0285313,,
../instances/kp_100000_1.in,-1,,40686861,40686621,0.000374638,,40686622,0.0288583,,
../instances/kp_100000_2.in,-1,,40542693,40542538,0.000374648,,40542543,0.0290796,,
../instances/kp_1000_1.in,100,,43680,43503,7.45e-07,,43649,0.000534487,,
../instances/kp_1000_2.in,100,,50950,50930,5.1e-07,,50930,0.00035532,,
../instances/kp_10000_1.in,100,,45306,45285,4.34e-07,,45285,4.2403e-05,,
../instances/kp_10000_1_0.1.in,100,,12509,12372,3.07e-07,,12500,1.0924e-05,,
../instances/kp_10000_1_0.01.in,100,,1771,1771,3.33e-07,,1771,5.218e-06,,
../instances/kp_10000_1_0.02.in,100,,4057,4057,2.54e-07,,4057,5.893e-06,,
../instances/kp_10000_1_0.03.in,100,,5534,5534,2.67e-07,,5534,6.709e-06,,
../instances/kp_10000_1_0.04.in,100,,6880,6874,2.63e-07,,6874,6.764e-06,,
../instances/kp_10000_1_0.05.in,100,,8087,8003,9.41e-07,,8003,9.579e-06,,
../instances/kp_10000_2.in,100,,49773,49631,8.51e-07,,49738,4.7835e-05,,
../instances/kp_100000_1.in,100,,45608,45608,5.23e-07,,45608,1.4916e-05,,
../instances/kp_100000_2.in,100,,45530,45528,1.11e-06,,45528,1.6168e-05,,
../instances/kp_10000_1.in,1000,,471135,471120,4.682e-06,,471126,0.0033683,,
../instances/kp_10000_1_0.1.in,1000,,150519,150508,2.442e-06,,150509,0.000714687,,
../instances/kp_10000_1_0.01.in,1000,,46609,46487,1.856e-06,,46562,7.0134e-05,,
../instances/kp_10000_1_0.02.in,1000,,68104,68070,1.834e-06,,68101,0.000136223,,
../instances/kp_10000_1_0.03.in,1000,,83874,83874,1.847e-06,,83874,0.000185568,,
../instances/kp_10000_1_0.04.in,1000,,96750,96750,1.986e-06,,96750,0.000225898,,
../instances/kp_10000_1_0.05.in,1000,,107977,107937,2.369e-06,,107976,0.000301768,,
../instances/kp_10000_2.in,1000,,474616,474609,4.783e-06,,474612,0.00338019,,
../instances/kp_100000_1.in,1000,,469129,469126,4.495e-06,,469128,0.000210731,,
../instances/kp_100000_2.in,1000,,477630,477624,4.758e-06,,477628,0.000204076,,
../instances/kp_100000_1.in,10000,,4687329,4687311,4.131e-05,,4687329,0.00366739,,
../instances/kp_100000_2.in,10000,,4688174,4688166,4.1166e-05,,4688174,0.0038417,,
